"","Job","Firm","Functional area","Type"
"67","Programme Director - Energy & Utilities
Capgemini Invent","Capgemini Invent","Management
+5
Mergers & Acquisitions
Ecommerce
Mobile & Apps
Corporate Governance
Lean & SixSigma","Job"
"68","Cyber | Incident Response - Senior Manager
PwC","PwC","Cyber Security","Job"
"69","Cyber Security Consultant - Manager
ThreeTwoFour","ThreeTwoFour","Project Management
+1
Cyber Security","Job"
"70","Consultant, Business Intelligence | Forensic & Litigation Consulting
FTI Consulting","FTI Consulting","Forensic & Litigation
+1
Business Intelligence","Job"
"71","Supply Chain Operations Consultant
BearingPoint","BearingPoint","Supply Chain","Job"
"72","Senior Data Principal
Valcon","Valcon","Project Management
+4
Data Science
Business Intelligence
Cloud
IT Architecture","Job"
"73","Generalist role
Coeus Consulting","Coeus Consulting","Strategy
+2
Project Management
IT Strategy","Job"
"74","Senior Statistical / Data Analyst
Yonder Consulting","Yonder Consulting","Data Science","Job"
"75","Consultant
Change Management Group","Change Management Group","Strategy
+2
Supply Chain
Change Management","Job"
"76","Senior Consultant
Enfuse Group","Enfuse Group","Digital
+3
Innovation
Project Management
Process Management","Job"
"77","Data Analyst
Digital Power","Digital Power","Data Science","Job"
"78","Contracts Manager
Panoptic Consultancy Group","Panoptic Consultancy Group","Project Management","Job"
"79","Consultant: Operations Performance
Ayming","Ayming","Procurement
+1
Supply Chain","Job"
"80","RE-4803; Procurement Consultant with SC Clearance
B2E Consulting","B2E Consulting","Procurement","Job"
"81","Junior Associate
McKinsey & Company","McKinsey & Company","Strategy
+1
Digital","Job"
"82","Junior Talent Acquisition Specialist
Zanders","Zanders","Recruitment","Job"
"83","Director - Energy Transition
Capgemini Invent","Capgemini Invent","Unknown","Job"
"84","Project Manager - Life Sciences
Genioo","Genioo","Project Management","Job"
"85","Lean consultant
Develop Consulting","Develop Consulting","Lean & SixSigma
+1
Change Management","Job"
"86","Strategy Director
The Upside","The Upside","Strategy
+2
Marketing
Innovation","Job"
"87","Managing Director, Mergers & Acquisitions
West Monroe","West Monroe","Mergers & Acquisitions","Job"
"88","Networks Consultant
PA Consulting","PA Consulting","Unknown","Job"
